
|   double|   double|  double|double|
|      deg|      deg|        |      |
|     null|     null|    null|  null|
 29.553695 62.453124      1.0    1.0 
 29.154948 61.808726      1.0    1.0 
   30.0546 62.560734      1.0    1.0 
 29.103779 61.894681      1.0    1.0 
 30.445578 62.568361      1.0    1.0 
 29.970539 62.551828      1.0    1.0 
 29.375245 62.376755      1.0    1.0 
 29.161692 61.798175      1.0    1.0 
 29.094056 61.915742      1.0    1.0 
 30.521449 62.564189      1.0    1.0 
 29.100193 61.895542      1.0    1.0 
 29.125266 61.845999      1.0    1.0 
 30.338901 62.573794      1.0    1.0 
 29.133302 61.830909      1.0    1.0 
 29.075899 61.979648      1.0    1.0 
 29.200114 62.260661      1.0    1.0 
 30.215089   62.5753      1.0    1.0 
 29.918327 62.549385      1.0    1.0 
  29.79867 62.529092      1.0    1.0 
 30.259294 62.577939      1.0    1.0 
 30.482592 62.572061      1.0    1.0 
 29.344877 62.371134      1.0    1.0 
 30.004194 62.563629      1.0    1.0 
 29.785732 62.528613      1.0    1.0 
 29.743654 62.519819      1.0    1.0 
  29.38145 62.392203      1.0    1.0 
 30.252652 62.580542      1.0    1.0 
 30.454375 62.576794      1.0    1.0 
 30.236396 62.580694      1.0    1.0 
 29.067421 62.066274      1.0    1.0 
 29.560324 62.468831      1.0    1.0 
 30.081804 62.572976      1.0    1.0 
 29.138131 61.800547      1.0    1.0 
 29.067351 62.077767      1.0    1.0 
 29.138843 62.212846      1.0    1.0 
 29.067184 61.929943      1.0    1.0 
 29.292355 62.347944      1.0    1.0 
 29.072363 62.108456      1.0    1.0 
 29.053685 62.028396      1.0    1.0 
 30.438359 62.582071      1.0    1.0 
 30.154818 62.581733      1.0    1.0 
 29.110861 61.826404      1.0    1.0 
 29.116298 61.817651      1.0    1.0 
 29.055556 61.947189      1.0    1.0 
 29.073884 61.888817      1.0    1.0 
 29.643818 62.502964      1.0    1.0 
 29.958341 62.566845      1.0    1.0 
 30.267148 62.588551      1.0    1.0 
 30.243238 62.588482      1.0    1.0 
 29.288507 62.352352      1.0    1.0 
 29.127579 62.215224      1.0    1.0 
 29.321924 62.373674      1.0    1.0 
 29.459722 62.441619      1.0    1.0 
 29.871343 62.555971      1.0    1.0 
 29.076368 62.144598      1.0    1.0 
 29.210768 62.302403      1.0    1.0 
 29.079795 61.854912      1.0    1.0 
  29.04425 61.943589      1.0    1.0 
 29.037604 61.981314      1.0    1.0 
 30.522904 62.584246      1.0    1.0 
